Token,Count,Percentage
is_archived,53922,62.657014373859795
status,43269,50.27829744710024
monitor_id,28484,33.09822331191392
internal_id,15279,17.75409893212796
type,14518,16.869821866393984
security_signal_id,10156,11.801206149269687
project,9493,11.03080444811118
responder.uuid,7029,8.167652424499472
monitor_groups,6034,7.011468876003672
error_tracking_issue_id,4682,5.440453642268676
title,2420,2.8120243089043564
host,1509,1.753448215758956
env,1263,1.4675978108042158
rule_id,1227,1.4257660442254734
assignee,961,1.1166757689492093
created_at,752,0.8738191240892876
service,587,0.6820901939367179
region,559,0.6495543754865848
creation_source,553,0.6425824143901278
kube_namespace,503,0.5844827385863187
kube_cluster_name,475,0.5519469201361857
resource_name,410,0.47641734159123394
device,392,0.45550145830186267
pod_name,353,0.4101837111748916
name,314,0.3648659640479206
account_alias,307,0.35673200943538735
sdlc,290,0.3369781196620923
team,288,0.3346541326299399
short_image,288,0.3346541326299399
sbc_ipaddress,285,0.33116815208171135
kube_container_name,269,0.3125762558244925
sbc_hostname,244,0.283526417922588
device_name,223,0.2591245540849882
sbc_systemapplication,215,0.24982860595637876
sbc_level,212,0.24634262540815022
hostname,211,0.24518063189207404
sbc_env,206,0.23937066431169315
notif_reg,190,0.22077876805447427
notif_cust,190,0.22077876805447427
urgency,166,0.1928909236686459
project_id,162,0.1882429496043412
environment,142,0.1650030792828176
modified_at,131,0.15222115060597963
zone,131,0.15222115060597963
application,120,0.13943922192914163
aws_account,118,0.13711523489698926
mount,103,0.11968533215584658
applicationid,100,0.11619935160761803
http.status_code,100,0.11619935160761803
issue.id,98,0.11387536457546567
haproxy_service,96,0.11155137754331332
topic,96,0.11155137754331332
queue,91,0.10574140996293241
consumer_group_id,87,0.1010934358986277
tenant,87,0.1010934358986277
kube_deployment,86,0.09993144238255151
story_key,80,0.09295948128609442
location,77,0.08947350073786588
story_type,76,0.0883115072217897
operation,74,0.08598752018963735
priority,71,0.0825015396414088
database_instance,70,0.08133954612533262
filesystem,68,0.07901555909318025
instance,64,0.07436758502887554
location_id,59,0.06855761744849463
status_code,58,0.06739562393241846
resource_id,56,0.0650716369002661
queuename,54,0.06274764986811374
supplier_name,53,0.061585656352037554
endpoint,46,0.053451701739504295
module,45,0.052289708223428114
http.path_group,45,0.052289708223428114
customer,45,0.052289708223428114
product,45,0.052289708223428114
task,45,0.052289708223428114
timestamp,45,0.052289708223428114
action,43,0.04996572119127576
consumer_group,43,0.04996572119127576
hystrixcircuit,40,0.04647974064304721
stream_name,40,0.04647974064304721
functionname,40,0.04647974064304721
resource_group,37,0.04299376009481867
db_service,37,0.04299376009481867
domain,36,0.04183176657874249
provider,34,0.03950777954659013
bosh_ip,34,0.03950777954659013
bosh_deployment,34,0.03950777954659013
currency,34,0.03950777954659013
app_to,33,0.03834578603051395
app_from,33,0.03834578603051395
pl,33,0.03834578603051395
subscription_name,33,0.03834578603051395
closed_at,33,0.03834578603051395
backendsettingspool,33,0.03834578603051395
systemapplication,32,0.03718379251443777
application_level,32,0.03718379251443777
ip_address,32,0.03718379251443777
rke2_type,32,0.03718379251443777
certificate_type,32,0.03718379251443777
certificate,32,0.03718379251443777
directory_path,32,0.03718379251443777
dbinstanceidentifier,30,0.03485980548228541
database_id,29,0.03369781196620923
targetgroup,27,0.03137382493405687
job_name,27,0.03137382493405687
process,27,0.03137382493405687
cluster_name,26,0.03021183141798069
schedule_id,25,0.029049837901904508
source,25,0.029049837901904508
stack,25,0.029049837901904508
job_active_status,24,0.02788784438582833
job_user,24,0.02788784438582833
subsystem_name,24,0.02788784438582833
path,24,0.02788784438582833
job_id,24,0.02788784438582833
hostaddress,23,0.026725850869752148
bank_name,23,0.026725850869752148
group,22,0.02556385735367597
repository_id,22,0.02556385735367597
fingerprint,22,0.02556385735367597
test_service,22,0.02556385735367597
client,21,0.024401863837599784
devicetype,20,0.023239870321523606
attr.ns,19,0.022077876805447424
owner,19,0.022077876805447424
activity,19,0.022077876805447424
datacenter,19,0.022077876805447424
sbc,18,0.020915883289371245
notificationkey,18,0.020915883289371245
dimension,18,0.020915883289371245
cell,18,0.020915883289371245
partner,17,0.019753889773295064
tablename,17,0.019753889773295064
platform,16,0.018591896257218885
spgpstack,16,0.018591896257218885
spgpfarm,16,0.018591896257218885
rfc190_deployment,16,0.018591896257218885
url_path,16,0.018591896257218885
fund_name,16,0.018591896257218885
partition,15,0.017429902741142703
subscription_id,15,0.017429902741142703
url,14,0.016267909225066525
var_name,14,0.016267909225066525
radar_type,14,0.016267909225066525
container_name,14,0.016267909225066525
resource,13,0.015105915708990345
process_name,13,0.015105915708990345
globalsecondaryindexname,12,0.013943922192914165
aws,12,0.013943922192914165
event_name,11,0.012781928676837985
platformtype,11,0.012781928676837985
pod_phase,11,0.012781928676837985
k8s.namespace.name,11,0.012781928676837985
k8s.cluster.name,11,0.012781928676837985
k8s.pod.name,11,0.012781928676837985
created_by,10,0.011619935160761803
zone_name,10,0.011619935160761803
application.name,10,0.011619935160761803
resource.status_code,10,0.011619935160761803
pod,10,0.011619935160761803
category,9,0.010457941644685623
product_id,9,0.010457941644685623
account,9,0.010457941644685623
app,9,0.010457941644685623
task_name,8,0.009295948128609443
task_arn,8,0.009295948128609443
gql.field,8,0.009295948128609443
http.response.status_code,8,0.009295948128609443
service_exit_code,8,0.009295948128609443
id,8,0.009295948128609443
error_type,8,0.009295948128609443
resource_type,7,0.008133954612533262
az,7,0.008133954612533262
partnererrorcode,7,0.008133954612533262
appname,7,0.008133954612533262
app_name,7,0.008133954612533262
cluster,7,0.008133954612533262
bucketname,7,0.008133954612533262
desc,7,0.008133954612533262
kube_cronjob,7,0.008133954612533262
gcp_sql_database_instance,7,0.008133954612533262
code,6,0.006971961096457082
interface_alias,6,0.006971961096457082
snmp_host,6,0.006971961096457082
sbc_classification,6,0.006971961096457082
website_url,6,0.006971961096457082
airline,6,0.006971961096457082
apiProxyName,6,0.006971961096457082
appName,6,0.006971961096457082
queue_id,5,0.005809967580380901
ob_region,5,0.005809967580380901
ob_env,5,0.005809967580380901
ob_product,5,0.005809967580380901
db,5,0.005809967580380901
apiname,5,0.005809967580380901
container_env,5,0.005809967580380901
apiid,4,0.004647974064304721
snowgroup,4,0.004647974064304721
property,4,0.004647974064304721
kube_app_name,4,0.004647974064304721
resolved_reason,4,0.004647974064304721
template,4,0.004647974064304721
target,4,0.004647974064304721
channel,4,0.004647974064304721
product_identifier,4,0.004647974064304721
tailnumber,3,0.003485980548228541
imei,3,0.003485980548228541
microsoft_sql_instance,3,0.003485980548228541
http.status_class,3,0.003485980548228541
endpoint_type,3,0.003485980548228541
partner_id,3,0.003485980548228541
namespace,3,0.003485980548228541
persistentvolumeclaim,3,0.003485980548228541
country,3,0.003485980548228541
cloud.region,3,0.003485980548228541
error,3,0.003485980548228541
sys_mon_queue_name,3,0.003485980548228541
datadog_index,3,0.003485980548228541
policy_name,3,0.003485980548228541
scope,3,0.003485980548228541
responder.name,3,0.003485980548228541
app_version,3,0.003485980548228541
physical_cluster_id,3,0.003485980548228541
event,3,0.003485980548228541
instrument_type,3,0.003485980548228541
cloud.provider,3,0.003485980548228541
jobname,2,0.0023239870321523606
accountname,2,0.0023239870321523606
partnerid,2,0.0023239870321523606
server,2,0.0023239870321523606
http.host,2,0.0023239870321523606
fgid,2,0.0023239870321523606
problem_id,2,0.0023239870321523606
ci.pipeline.name,2,0.0023239870321523606
site_id,2,0.0023239870321523606
gqe_env,2,0.0023239870321523606
db_name,2,0.0023239870321523606
resourcearn,2,0.0023239870321523606
platform_support_group,1,0.0011619935160761803
destination_service_name,1,0.0011619935160761803
errorcode,1,0.0011619935160761803
params.event,1,0.0011619935160761803
vehicletype,1,0.0011619935160761803
loadbalancer,1,0.0011619935160761803
hvr_aws_account,1,0.0011619935160761803
sbc_satellite_name,1,0.0011619935160761803
severity,1,0.0011619935160761803
entityname,1,0.0011619935160761803
container_id,1,0.0011619935160761803
service_code,1,0.0011619935160761803
method,1,0.0011619935160761803
detail,1,0.0011619935160761803
snmp_device,1,0.0011619935160761803
kube_node,1,0.0011619935160761803
kafka_group,1,0.0011619935160761803
clustername,1,0.0011619935160761803
db.query_signature,1,0.0011619935160761803
component,1,0.0011619935160761803
device.id,1,0.0011619935160761803
adapter,1,0.0011619935160761803
landing_zone,1,0.0011619935160761803
metadata.query.query,1,0.0011619935160761803
systemenvironment,1,0.0011619935160761803
